epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,6.27852,1.34594,4.6374,3.97496,1.43252,0,0.00288,0.5,0.0128,0.00407,0.00288,0.5,0.00521,0.00222,2.59205,2.74318,5.94922,2.30481,0,1.429e-05,1.429e-05,1.429e-05
2,12.0162,1.51416,4.91253,4.02798,1.56108,0,0.00289,0.5,0.01734,0.00747,0.00289,0.5,0.00783,0.00375,2.46647,1.9948,5.71679,2.17868,0,4.07479e-05,4.07479e-05,4.07479e-05
3,18.0457,2.10702,4.04,4.41654,1.99796,0,0.00379,0.625,0.02097,0.00709,0.00379,0.625,0.01544,0.00526,2.13004,1.96049,5.5938,2.02823,0,6.43764e-05,6.43764e-05,6.43764e-05
4,23.5087,1.53387,3.0906,4.09372,1.65297,0,0.00362,0.625,0.15013,0.03131,0.00362,0.625,0.01107,0.00403,1.81739,2.5433,4.97194,1.8515,0,8.51755e-05,8.51755e-05,8.51755e-05
5,28.7604,1.12031,2.46771,3.65834,1.29872,0,0.00361,0.625,0.1479,0.04285,0.0028,0.5,0.0064,0.00322,1.63899,2.92691,4.83254,1.7798,0,0.000103145,0.000103145,0.000103145
6,34.2685,1.3428,2.66523,3.63951,1.40971,0,0.00418,0.75,0.16012,0.06219,0.00279,0.5,0.01445,0.00416,1.64061,3.51682,4.79098,1.81061,0,0.000118285,0.000118285,0.000118285
7,39.9566,0.93141,2.2611,3.57676,1.14306,0,0.00424,0.75,0.08422,0.04243,0.00283,0.5,0.00592,0.00316,1.65495,4.09969,4.60756,1.83165,0,0.000130596,0.000130596,0.000130596
8,45.4654,0.97815,1.95599,3.42532,1.18314,0,0.00436,0.75,0.11611,0.05004,0.00291,0.5,0.02021,0.00631,1.64231,4.47523,4.53832,1.85093,0,0.000140078,0.000140078,0.000140078
9,51.0644,1.00346,1.72951,3.09261,1.20723,0,0.00451,0.75,0.10854,0.04774,0.00367,0.625,0.05363,0.0126,1.7,4.58579,4.47971,1.90124,0,0.00014673,0.00014673,0.00014673
10,56.6307,0.95771,2.04381,3.26151,1.16178,0,0.0046,0.75,0.142,0.06652,0.00307,0.5,0.07416,0.01822,1.62145,4.78429,4.53883,1.818,0,0.000150552,0.000150552,0.000150552
11,61.9633,1.00986,1.88075,3.67105,1.2574,0,0.00454,0.75,0.13292,0.08067,0.00303,0.5,0.13807,0.03068,1.48625,4.89986,4.42711,1.6262,0,0.000151545,0.000151545,0.000151545
12,67.2777,1.08271,1.64804,3.40702,1.38805,0,0.00454,0.75,0.13292,0.08067,0.00303,0.5,0.13807,0.03068,1.48625,4.89986,4.42711,1.6262,0,0.000149709,0.000149709,0.000149709
13,72.8634,0.96458,1.18371,3.17957,1.21733,0,0.00395,0.625,0.23496,0.12128,0.00379,0.625,0.1491,0.05208,1.47473,4.84384,4.27618,1.58416,0,0.000145044,0.000145044,0.000145044
14,78.3614,1.0768,1.27456,3.23542,1.30331,0,0.00475,0.75,0.24068,0.12218,0.00317,0.5,0.15542,0.05796,1.7075,4.56169,4.4464,1.76176,0,0.000137548,0.000137548,0.000137548
15,84.3363,1.03177,1.56348,3.22725,1.36043,0,0.00475,0.75,0.24068,0.12218,0.00317,0.5,0.15542,0.05796,1.7075,4.56169,4.4464,1.76176,0,0.000127224,0.000127224,0.000127224
16,89.8614,0.80169,1.12788,2.81278,1.19252,0,0.00482,0.75,0.25073,0.12661,0.00235,0.375,0.18416,0.06554,1.8377,4.27946,4.62262,1.8288,0,0.00011407,0.00011407,0.00011407
17,97.0981,0.86932,1.12223,2.85973,1.21066,0,0.00483,0.75,0.27039,0.13153,0.00322,0.5,0.18528,0.06406,1.78522,4.23469,4.61288,1.81295,0,9.80866e-05,9.80866e-05,9.80866e-05
18,102.736,0.95502,1.21603,2.89384,1.29271,0,0.00483,0.75,0.27039,0.13153,0.00322,0.5,0.18528,0.06406,1.78522,4.23469,4.61288,1.81295,0,7.92738e-05,7.92738e-05,7.92738e-05
19,107.847,0.92544,1.39193,2.72945,1.26666,0,0.00404,0.625,0.24921,0.13879,0.00328,0.5,0.18713,0.05223,1.81256,4.47506,4.48627,1.81345,0,5.76316e-05,5.76316e-05,5.76316e-05
20,113.02,0.64019,0.92185,2.58542,1.11181,0,0.00404,0.625,0.24921,0.13879,0.00328,0.5,0.18713,0.05223,1.81256,4.47506,4.48627,1.81345,0,3.31599e-05,3.31599e-05,3.31599e-05
